Title,Artist,Hash_tag,Price,URL,img,Type
꽃을 든 소녀,칼 라르손(Carl Larsson),#수채화 #로맨틱 #인물,"43,000 ",https://www.wart.co.kr/product/%EA%BD%83%EC%9D%84-%EB%93%A0-%EC%86%8C%EB%85%80/13222/category/380/display/1/,https://www.wart.co.kr/web/product/medium/202207/49f1c665923ca4a544b01627b585476e.jpg,Masterpiece
테이지 틸의 초상화,칼 라르손 (Carl Larsson),#사실주의 #클래식 #차분,"43,000 ",https://www.wart.co.kr/product/%ED%85%8C%EC%9D%B4%EC%A7%80-%ED%8B%B8%EC%9D%98-%EC%B4%88%EC%83%81%ED%99%94/13221/category/380/display/1/,https://www.wart.co.kr/web/product/medium/202206/29eab480d27d07156fd011675ec50194.jpg,Masterpiece
자작나무 아래,칼 라르손 (Carl Larsson),#사실주의 #내츄럴 #여유,"43,000 ",https://www.wart.co.kr/product/%EC%9E%90%EC%9E%91%EB%82%98%EB%AC%B4-%EC%95%84%EB%9E%98/13220/category/380/display/1/,https://www.wart.co.kr/web/product/medium/202206/33cfa2557c054ec3dff7efebb100d41c.jpg,Masterpiece
에스본과 농부소녀,칼 라르손 (Carl Larsson),#사실주의 #내츄럴 #여유,"43,000 ",https://www.wart.co.kr/product/%EC%97%90%EC%8A%A4%EB%B3%B8%EA%B3%BC-%EB%86%8D%EB%B6%80%EC%86%8C%EB%85%80/13219/category/380/display/1/,https://www.wart.co.kr/web/product/medium/202206/4c62d28e19be91f65b1e3d9ee092e545.jpg,Masterpiece
양동이와 소녀,칼 라르손 (Carl Larsson),#사실주의 #클래식 #차분,"43,000 ",https://www.wart.co.kr/product/%EC%96%91%EB%8F%99%EC%9D%B4%EC%99%80-%EC%86%8C%EB%85%80/13218/category/380/display/1/,https://www.wart.co.kr/web/product/medium/202206/970fb0870c997e41eadf757ebf0037e5.jpg,Masterpiece
소녀 마사 윈 슬로우,칼 라르손 (Carl Larsson),#사실주의 #클래식 #차분,"43,000 ",https://www.wart.co.kr/product/%EC%86%8C%EB%85%80-%EB%A7%88%EC%82%AC-%EC%9C%88-%EC%8A%AC%EB%A1%9C%EC%9A%B0/13217/category/380/display/1/,https://www.wart.co.kr/web/product/medium/202206/14590c7cbc4a81c053a49eb4aaa5b306.jpg,Masterpiece
무엇이 당신을 기쁘게 할 수 있을까요,칼 라르손 (Carl Larsson),#사실주의 #클래식 #편안,"43,000 ",https://www.wart.co.kr/product/%EB%AC%B4%EC%97%87%EC%9D%B4-%EB%8B%B9%EC%8B%A0%EC%9D%84-%EA%B8%B0%EC%81%98%EA%B2%8C-%ED%95%A0-%EC%88%98-%EC%9E%88%EC%9D%84%EA%B9%8C%EC%9A%94/13216/category/380/display/1/,https://www.wart.co.kr/web/product/medium/202206/a4a38576a1d1a023739f2edb06d3527b.jpg,Masterpiece
눈 속에서,칼 라르손 (Carl Larsson),#사실주의 #내츄럴 #힐링,"43,000 ",https://www.wart.co.kr/product/%EB%88%88-%EC%86%8D%EC%97%90%EC%84%9C/13215/category/380/display/1/,https://www.wart.co.kr/web/product/medium/202206/1666d7765dc7b588c964ff12c92f59dd.jpg,Masterpiece
노란 튤립과 리스베스,칼 라르손 (Carl Larsson),#사실주의 #클래식 #힐링,"43,000 ",https://www.wart.co.kr/product/%EB%85%B8%EB%9E%80-%ED%8A%A4%EB%A6%BD%EA%B3%BC-%EB%A6%AC%EC%8A%A4%EB%B2%A0%EC%8A%A4/13214/category/380/display/1/,https://www.wart.co.kr/web/product/medium/202206/d816b72c2f3b6a4d84323ee04e97affb.jpg,Masterpiece
나의 앞마당,칼 라르손 (Carl Larsson),#사실주의 #내츄럴 #여유,"43,000 ",https://www.wart.co.kr/product/%EB%82%98%EC%9D%98-%EC%95%9E%EB%A7%88%EB%8B%B9/13213/category/380/display/1/,https://www.wart.co.kr/web/product/medium/202206/89d21287232bbd5cf80590274e08f342.jpg,Masterpiece
